Techstack,Links
"React, Node.js, MongoDB",https://www.google.com/search?q=https://example.com/react-portfolio
"Angular,.NET, SQL Server",https://www.google.com/search?q=https://example.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://www.google.com/search?q=https://example.com/vue-portfolio
"Python, Django, MySQL",https://www.google.com/search?q=https://example.com/python-portfolio
"Java, Spring Boot, Oracle",https://www.google.com/search?q=https://example.com/java-portfolio
"Flutter, Firebase, GraphQL",https://www.google.com/search?q=https://example.com/flutter-portfolio
"WordPress, PHP, MySQL",https://www.google.com/search?q=https://example.com/wordpress-portfolio
"Magento, PHP, MySQL",https://www.google.com/search?q=https://example.com/magento-portfolio
"React Native, Node.js, MongoDB",https://www.google.com/search?q=https://example.com/react-native-portfolio
"iOS, Swift, Core Data",https://www.google.com/search?q=https://example.com/ios-portfolio
"Android, Java, Room Persistence",https://www.google.com/search?q=https://example.com/android-portfolio
"Kotlin, Android, Firebase",https://www.google.com/search?q=https://example.com/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://www.google.com/search?q=https://example.com/android-portfolio
"iOS, Swift, ARKit",https://www.google.com/search?q=https://example.com/ios-portfolio
"Cross-platform, Xamarin, Azure",https://www.google.com/search?q=https://example.com/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://www.google.com/search?q=https://example.com/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://www.google.com/search?q=https://example.com/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://www.google.com/search?q=https://example.com/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://www.google.com/search?q=https://example.com/ml-python-portfolio
"DevOps, Jenkins, Docker",https://www.google.com/search?q=https://example.com/devops-portfolio
